,importance,feature
85,0.03,H1_special_hydrophobic
86,0.029,H1_special_special
84,0.027,H1_special_charged
87,0.025,H2_polar_polar
98,0.02,H2_charged_aromatic
83,0.02,H1_special_aromatic
88,0.018,H2_polar_aromatic
82,0.017,H1_special_polar
89,0.017,H2_polar_charged
94,0.016,H2_aromatic_charged
99,0.015,H2_charged_charged
69,0.015,H1_aromatic_charged
92,0.015,H2_aromatic_polar
73,0.015,H1_charged_aromatic
72,0.014,H1_charged_polar
70,0.014,H1_aromatic_hydrophobic
95,0.014,H2_aromatic_hydrophobic
71,0.014,H1_aromatic_special
93,0.014,H2_aromatic_aromatic
68,0.014,H1_aromatic_aromatic
90,0.014,H2_polar_hydrophobic
66,0.014,H1_polar_special
74,0.013,H1_charged_charged
76,0.013,H1_charged_special
67,0.013,H1_aromatic_polar
77,0.013,H1_hydrophobic_polar
75,0.013,H1_charged_hydrophobic
0,0.013,epitope_num_res
1,0.013,epitope_sasa
80,0.012,H1_hydrophobic_hydrophobic
65,0.012,H1_polar_hydrophobic
38,0.012,L1-12-A
96,0.012,H2_aromatic_special
81,0.012,H1_hydrophobic_special
91,0.012,H2_polar_special
78,0.012,H1_hydrophobic_aromatic
41,0.012,L1-13-B
79,0.011,H1_hydrophobic_charged
32,0.011,H2-12-A
97,0.011,H2_charged_polar
31,0.011,H2-10-B
34,0.011,None
39,0.011,L1-12-B
36,0.011,L1-11-A
33,0.01,H2-9-A
30,0.01,H2-10-A
64,0.01,H1_polar_charged
3,0.01,interaction_total_energy
29,0.01,None
2,0.01,epitope_total_energy
63,0.009,H1_polar_aromatic
35,0.009,L1-10-A
40,0.009,L1-13-A
37,0.009,L1-11-B
45,0.009,L1-15-A
4,0.009,shape_similarity
58,0.009,"L3-9,10-A"
28,0.008,H1-15-C
62,0.008,H1_polar_polar
54,0.008,L3-10-B
27,0.008,H1-15-B
42,0.008,L1-14-A
55,0.007,L3-11-A
56,0.007,L3-5-A
60,0.007,None
61,0.007,
5,0.007,sc_total
46,0.007,"L1-16,17-A"
57,0.007,L3-8-A
26,0.007,H1-15-A
21,0.007,H1-13-A
25,0.007,H1-14-A
52,0.007,"L3-10,11-A"
24,0.006,H1-13-D
23,0.006,H1-13-C
18,0.006,H1_length
43,0.006,L1-14-B
53,0.006,L3-10-A
44,0.006,L1-14-C
22,0.006,H1-13-B
59,0.006,L3-9-A
20,0.005,H3_length
51,0.005,
48,0.005,
47,0.005,None
19,0.005,H2_length
6,0.005,dSASA
50,0.005,None
49,0.005,L2-8-A
17,0.004,L3_length
16,0.003,L2_length
15,0.003,L1_length
7,0.002,interface_dg
8,0.001,interface_num_res
14,0.001,l3_interaction_energy
13,0.001,l2_interaction_energy
12,0.001,l1_interaction_energy
10,0.0,h2_interaction_energy
9,0.0,h1_interaction_energy
11,0.0,h3_interaction_energy
