,0
5kvd,50
3a6b,50
4idj,50
5mi0,50
5dwu,50
4np4,50
3hi6,50
4ffz,50
6mft,50
2j6e,50
5ywy,50
1nby,50
5u8q,50
3mac,50
6a0z,50
2wuc,50
4r8w,50
3bdy,50
5xmh,50
4f9l,50
5sy8,50
5kve,49
5cd5,49
3t2n,49
3c09,48
1mlc,48
5c6t,47
5usl,47
3dvn,46
5yoy,46
4uu9,46
3uyp,46
5w0k,45
4qci,44
1fe8,44
6b0s,43
6mi2,43
4g6m,42
4u6h,42
6eyo,41
4dgi,40
3ve0,40
4k24,39
2ypv,39
5d1q,39
2cmr,38
6flc,38
5w6g,38
5n7w,37
5gzo,37
1p2c,37
6b0e,36
4i2x,35
5c0n,35
3qwo,35
4j4p,35
4etq,34
5kvf,34
3etb,34
2vis,33
1sy6,32
4dn4,31
5czv,31
6cwt,28
4ypg,28
4u6v,28
2w9e,27
3l5y,26
3hae,25
3nfp,24
4yk4,23
4fqr,23
5f3b,22
5wi9,22
3gjf,20
5grj,19
1cz8,18
3q1s,18
5mes,17
3h42,13
1nsn,12
5otj,11
5ngv,11
5c7x,10
5anm,10
5lcv,7
5hys,4
4ybl,4
5vyf,2
4zs7,2
3l5w,1
5j13,1
5l6y,1
3lqa,1
3wd5,1
4dtg,1
1iqd,1
4d9r,1
6bf4,1
5b71,1
5k59,1
2vxq,1
1yym,1
