,0
3qwo,50
5i5k,50
5dwu,50
6b0e,50
3gjf,50
3hi6,50
1nsn,50
5anm,50
3ve0,50
3t2n,50
1p2c,50
5l6y,49
4i2x,49
3eo1,49
4etq,48
3uyp,48
1za3,47
5usl,47
3wd5,47
5mes,47
4ybl,46
4z5r,46
4r2g,46
4lqf,46
6cwt,45
3a6b,45
3mac,45
1mlc,45
6b0s,44
5yoy,43
5gzo,43
3bdy,43
5d1x,42
1fe8,42
2ypv,40
2vwe,39
5ywy,39
1nby,39
1ob1,36
3hae,36
5u7m,36
5kve,36
5mi0,35
1yym,35
4k2u,34
4lu5,30
5w6g,30
3k2u,30
6flc,29
4dke,28
2wuc,28
5u8q,27
4dgi,26
4u6v,26
6eyo,26
4j4p,25
4uu9,25
2j6e,25
5kvf,24
5wi9,24
4k24,24
4f9l,24
6mi2,23
4zs7,21
2nyy,19
6bf4,18
4dn4,16
4d9r,15
3q1s,15
6fgb,15
4qci,13
1fsk,13
3sqo,13
5wux,13
5w0k,13
4fqr,12
5w08,12
4p59,12
3g6d,11
5igx,11
5hys,10
3lqa,10
5n7w,9
4np4,9
3l5y,9
5vyf,9
5j13,8
1sy6,8
3l5w,7
4liq,7
6a0z,7
5vob,7
4g6m,7
5c6t,6
4r8w,6
3dvn,6
2w9e,5
3c09,5
2ny7,5
2bdn,5
6ii8,5
1iqd,4
5c0n,4
4yk4,4
5c7x,3
4u6h,3
5czv,2
5sy8,2
2vxq,2
4ffz,2
4jkp,1
5lcv,1
5otj,1
4ypg,1
5w06,1
1cz8,1
4dtg,1
5kvd,1
4idj,1
3etb,1
4cni,1
3nfp,1
2ybr,1
5w42,1
