,importance,feature
274,0.026,QR
273,0.022,QQ
275,0.017,QS
278,0.015,QW
279,0.013,QY
272,0.012,QP
277,0.012,QV
290,0.01,RM
280,0.01,RA
271,0.009,QN
276,0.008,QT
298,0.008,RW
292,0.008,RP
260,0.008,QA
150,0.007,IM
154,0.007,IR
155,0.007,IS
153,0.007,IQ
250,0.007,PM
281,0.007,RC
261,0.007,QC
297,0.007,RV
284,0.007,RF
249,0.007,PL
251,0.006,PN
259,0.006,PY
151,0.006,IN
149,0.006,IL
270,0.006,QM
156,0.006,IT
159,0.006,IY
248,0.006,PK
152,0.006,IP
157,0.006,IV
161,0.006,KC
160,0.006,KA
162,0.006,KD
258,0.006,PW
257,0.006,PV
164,0.006,KF
262,0.006,QD
283,0.006,RE
158,0.006,IW
163,0.006,KE
252,0.005,PP
263,0.005,QE
165,0.005,KG
256,0.005,PT
282,0.005,RD
286,0.005,RH
148,0.005,IK
108,0.005,GK
202,0.005,MD
247,0.005,PI
254,0.005,PR
288,0.005,RK
233,0.005,NQ
203,0.005,ME
205,0.005,MG
285,0.005,RG
253,0.005,PQ
166,0.005,KH
147,0.005,II
200,0.005,MA
209,0.005,ML
264,0.005,QF
204,0.005,MF
232,0.005,NP
110,0.005,GM
206,0.005,MH
109,0.004,GL
255,0.004,PS
146,0.004,IH
291,0.004,RN
269,0.004,QL
231,0.004,NN
111,0.004,GN
207,0.004,MI
208,0.004,MK
210,0.004,MM
213,0.004,MQ
107,0.004,GI
201,0.004,MC
114,0.004,GR
112,0.004,GP
230,0.004,NM
113,0.004,GQ
246,0.004,PH
265,0.004,QG
234,0.004,NR
229,0.004,NL
266,0.004,QH
167,0.004,KI
198,0.004,LW
18,0.004,AW
212,0.004,MP
17,0.004,AV
199,0.004,LY
228,0.004,NK
215,0.004,MS
289,0.004,RL
197,0.004,LV
287,0.004,RI
214,0.003,MR
268,0.003,QK
186,0.003,LH
211,0.003,MN
106,0.003,GH
267,0.003,QI
105,0.003,GG
115,0.003,GS
191,0.003,LN
19,0.003,AY
293,0.003,RQ
185,0.003,LG
168,0.003,KK
104,0.003,GF
38,0.003,CW
196,0.003,LT
145,0.003,IG
296,0.003,RT
235,0.003,NS
116,0.003,GT
188,0.003,LK
40,0.003,DA
194,0.003,LR
39,0.003,CY
189,0.003,LL
37,0.003,CV
144,0.003,IF
245,0.003,PG
169,0.003,KL
184,0.003,LF
117,0.003,GV
118,0.003,GW
195,0.003,LS
187,0.003,LI
42,0.003,DD
120,0.003,HA
35,0.003,CS
124,0.003,HF
193,0.003,LQ
216,0.003,MT
183,0.003,LE
123,0.003,HE
294,0.003,RR
143,0.003,IE
100,0.003,GA
182,0.003,LD
41,0.003,DC
190,0.003,LM
103,0.003,GE
91,0.003,FN
217,0.003,MV
192,0.003,LP
125,0.003,HG
36,0.003,CT
101,0.003,GC
121,0.003,HC
34,0.003,CR
122,0.003,HD
181,0.003,LC
88,0.003,FK
32,0.003,CP
243,0.002,PE
33,0.002,CQ
102,0.002,GD
20,0.002,CA
295,0.002,RS
92,0.002,FP
219,0.002,MY
236,0.002,NT
227,0.002,NI
94,0.002,FR
141,0.002,IC
43,0.002,DE
126,0.002,HH
89,0.002,FL
142,0.002,ID
87,0.002,FI
180,0.002,LA
93,0.002,FQ
244,0.002,PF
119,0.002,GY
99,0.002,FY
44,0.002,DF
96,0.002,FT
218,0.002,MW
45,0.002,DG
95,0.002,FS
127,0.002,HI
86,0.002,FH
98,0.002,FW
90,0.002,FM
128,0.002,HK
16,0.002,AT
53,0.002,DQ
97,0.002,FV
220,0.002,NA
55,0.002,DS
170,0.002,KM
138,0.002,HW
242,0.002,PD
135,0.002,HS
241,0.002,PC
131,0.002,HN
226,0.002,NH
31,0.002,CN
52,0.002,DP
56,0.002,DT
15,0.002,AS
54,0.002,DR
240,0.002,PA
21,0.002,CC
139,0.002,HY
239,0.002,NY
51,0.002,DN
83,0.002,FE
50,0.002,DM
84,0.002,FF
237,0.002,NV
132,0.002,HP
225,0.002,NG
85,0.001,FG
140,0.001,IA
58,0.001,DW
129,0.001,HL
179,0.001,KY
73,0.001,EQ
136,0.001,HT
137,0.001,HV
72,0.001,EP
46,0.001,DH
238,0.001,NW
59,0.001,DY
74,0.001,ER
221,0.001,NC
130,0.001,HM
70,0.001,EM
47,0.001,DI
171,0.001,KN
49,0.001,DL
133,0.001,HQ
223,0.001,NE
134,0.001,HR
57,0.001,DV
48,0.001,DK
30,0.001,CM
7,0.001,AI
14,0.001,AR
13,0.001,AQ
60,0.001,EA
63,0.001,EE
172,0.001,KP
75,0.001,ES
224,0.001,NF
62,0.001,ED
82,0.001,FD
178,0.001,KW
67,0.001,EI
65,0.001,EG
222,0.001,ND
69,0.001,EL
6,0.001,AH
177,0.001,KV
61,0.001,EC
71,0.001,EN
22,0.001,CD
5,0.001,AG
29,0.001,CL
64,0.001,EF
4,0.001,AF
176,0.001,KT
76,0.001,ET
66,0.001,EH
68,0.001,EK
23,0.001,CE
81,0.001,FC
11,0.001,AN
299,0.001,RY
12,0.001,AP
173,0.001,KQ
175,0.001,KS
3,0.001,AE
174,0.001,KR
10,0.001,AM
78,0.0,EW
24,0.0,CF
77,0.0,EV
8,0.0,AK
79,0.0,EY
28,0.0,CK
80,0.0,FA
27,0.0,CI
26,0.0,CH
2,0.0,AD
25,0.0,CG
9,0.0,AL
1,0.0,AC
0,0.0,AA
