,importance,feature
292,0.032,avg_epitope_SIN
287,0.031,L1_avg_epitope_SIN
163,0.023,L1_polar_hydrophobic
285,0.021,H3_avg_epitope_SIN
262,0.02,L2_avg_dMaSIF
318,0.018,avg_epitope_AIF
301,0.017,L1_total_epitope_AIF
309,0.016,H2_avg_epitope_AIF
227,0.015,L3_hydrophobic_charged
254,0.014,H1_avg_dMaSIF
147,0.014,H3_charged_charged
92,0.014,H1_aromatic_charged
274,0.014,L1_total_SIN
63,0.013,H2
84,0.011,CORESIN
3,0.011,interaction_total_energy
130,0.011,H2_special_polar
123,0.009,H2_charged_hydrophobic
80,0.009,L1L2
87,0.009,H1_polar_charged
255,0.009,H1_avg_epitope_dMaSIF
112,0.009,H2_polar_charged
140,0.009,H3_aromatic_polar
246,0.009,H3_total_dMaSIF
221,0.009,L3_charged_aromatic
77,0.008,H3L1
137,0.008,H3_polar_charged
173,0.008,L1_charged_hydrophobic
76,0.008,H2L3
305,0.008,L3_total_epitope_AIF
253,0.008,L3_total_epitope_dMaSIF
264,0.008,L3_avg_dMaSIF
143,0.008,H3_aromatic_hydrophobic
192,0.007,L2_aromatic_charged
182,0.007,L1_special_charged
168,0.007,L1_aromatic_hydrophobic
9,0.007,h1_interaction_energy
302,0.007,L2_total_AIF
279,0.007,L3_total_epitope_SIN
126,0.007,H2_hydrophobic_aromatic
178,0.007,L1_hydrophobic_hydrophobic
78,0.006,H3L2
293,0.006,avg_paratope_SIN
266,0.006,avg_epitope_dMaSIF
257,0.006,H2_avg_epitope_dMaSIF
2,0.006,epitope_total_energy
247,0.006,H3_total_epitope_dMaSIF
252,0.006,L3_total_dMaSIF
152,0.006,H3_hydrophobic_charged
286,0.006,L1_avg_SIN
317,0.006,L3_avg_epitope_AIF
249,0.006,L1_total_epitope_dMaSIF
148,0.006,H3_charged_hydrophobic
256,0.006,H2_avg_dMaSIF
157,0.006,H3_special_charged
136,0.006,H3_polar_aromatic
210,0.006,L3_polar_polar
260,0.006,L1_avg_dMaSIF
245,0.006,H2_total_epitope_dMaSIF
240,0.006,L3_multivalent
185,0.006,L2_polar_polar
83,0.006,NORM
72,0.006,H1L3
273,0.005,H3_total_epitope_SIN
311,0.005,H3_avg_epitope_AIF
11,0.005,h3_interaction_energy
303,0.005,L2_total_epitope_AIF
304,0.005,L3_total_AIF
74,0.005,H2L1
146,0.005,H3_charged_aromatic
13,0.005,l2_interaction_energy
88,0.005,H1_polar_hydrophobic
277,0.005,L2_total_epitope_SIN
5,0.005,sc_total
271,0.005,H2_total_epitope_SIN
115,0.005,H2_aromatic_polar
191,0.005,L2_aromatic_aromatic
6,0.005,dSASA
131,0.005,H2_special_aromatic
258,0.005,H3_avg_dMaSIF
141,0.005,H3_aromatic_aromatic
211,0.005,L3_polar_aromatic
165,0.004,L1_aromatic_polar
243,0.004,H1_total_epitope_dMaSIF
73,0.004,H2H3
232,0.004,L3_special_charged
7,0.004,interface_dg
290,0.004,L3_avg_SIN
62,0.004,H1
64,0.004,H3
69,0.004,H1H3
296,0.004,H2_total_AIF
263,0.004,L2_avg_epitope_dMaSIF
300,0.004,L1_total_AIF
269,0.004,H1_total_epitope_SIN
160,0.004,L1_polar_polar
283,0.004,H2_avg_epitope_SIN
295,0.004,H1_total_epitope_AIF
244,0.004,H2_total_dMaSIF
145,0.004,H3_charged_polar
121,0.004,H2_charged_aromatic
81,0.004,L1L3
138,0.004,H3_polar_hydrophobic
142,0.004,H3_aromatic_charged
10,0.004,h2_interaction_energy
177,0.004,L1_hydrophobic_charged
250,0.004,L2_total_dMaSIF
316,0.003,L3_avg_AIF
66,0.003,L2
242,0.003,H1_total_dMaSIF
248,0.003,L1_total_dMaSIF
161,0.003,L1_polar_aromatic
215,0.003,L3_aromatic_polar
251,0.003,L2_total_epitope_dMaSIF
1,0.003,epitope_sasa
307,0.003,H1_avg_epitope_AIF
0,0.003,epitope_num_res
261,0.003,L1_avg_epitope_dMaSIF
12,0.003,l1_interaction_energy
86,0.003,H1_polar_aromatic
124,0.003,H2_charged_special
52,0.003,"L3-10,11-A"
299,0.003,H3_total_epitope_AIF
67,0.003,L3
313,0.003,L1_avg_epitope_AIF
8,0.003,interface_num_res
127,0.003,H2_hydrophobic_charged
294,0.003,H1_total_AIF
14,0.003,l3_interaction_energy
156,0.003,H3_special_aromatic
315,0.003,L2_avg_epitope_AIF
259,0.003,H3_avg_epitope_dMaSIF
297,0.003,H2_total_epitope_AIF
265,0.003,L3_avg_epitope_dMaSIF
281,0.002,H1_avg_epitope_SIN
222,0.002,L3_charged_charged
68,0.002,H1H2
111,0.002,H2_polar_aromatic
306,0.002,H1_avg_AIF
289,0.002,L2_avg_epitope_SIN
312,0.002,L1_avg_AIF
118,0.002,H2_aromatic_hydrophobic
122,0.002,H2_charged_charged
144,0.002,H3_aromatic_special
282,0.002,H2_avg_SIN
85,0.002,H1_polar_polar
212,0.002,L3_polar_charged
94,0.002,H1_aromatic_special
275,0.002,L1_total_epitope_SIN
319,0.002,avg_paratope_AIF
278,0.002,L3_total_SIN
119,0.002,H2_aromatic_special
190,0.002,L2_aromatic_polar
103,0.002,H1_hydrophobic_hydrophobic
267,0.002,avg_paratope_dMaSIF
291,0.002,L3_avg_epitope_SIN
237,0.002,H3_multivalent
20,0.002,H3_length
117,0.002,H2_aromatic_charged
193,0.002,L2_aromatic_hydrophobic
298,0.002,H3_total_AIF
162,0.002,L1_polar_charged
270,0.002,H2_total_SIN
167,0.002,L1_aromatic_charged
79,0.001,H3L3
132,0.001,H2_special_charged
187,0.001,L2_polar_charged
238,0.001,L1_multivalent
314,0.001,L2_avg_AIF
75,0.001,H2L2
90,0.001,H1_aromatic_polar
217,0.001,L3_aromatic_charged
310,0.001,H3_avg_AIF
150,0.001,H3_hydrophobic_polar
93,0.001,H1_aromatic_hydrophobic
216,0.001,L3_aromatic_aromatic
155,0.001,H3_special_polar
65,0.001,L1
308,0.001,H2_avg_AIF
149,0.001,H3_charged_special
91,0.001,H1_aromatic_aromatic
235,0.001,H1_multivalent
17,0.001,L3_length
125,0.001,H2_hydrophobic_polar
236,0.001,H2_multivalent
164,0.001,L1_polar_special
108,0.001,H1_special_hydrophobic
166,0.001,L1_aromatic_aromatic
241,0.001,num_CDRs_multivalent
70,0.001,H1L1
220,0.001,L3_charged_polar
175,0.001,L1_hydrophobic_polar
15,0.001,L1_length
139,0.001,H3_polar_special
239,0.001,L2_multivalent
225,0.001,L3_hydrophobic_polar
172,0.001,L1_charged_charged
82,0.001,L2L3
58,0.001,"L3-9,10-A"
218,0.001,L3_aromatic_hydrophobic
197,0.001,L2_charged_charged
213,0.001,L3_polar_hydrophobic
151,0.001,H3_hydrophobic_aromatic
223,0.001,L3_charged_hydrophobic
176,0.001,L1_hydrophobic_aromatic
95,0.0,H1_charged_polar
169,0.0,L1_aromatic_special
179,0.0,L1_hydrophobic_special
113,0.0,H2_polar_hydrophobic
116,0.0,H2_aromatic_aromatic
120,0.0,H2_charged_polar
230,0.0,L3_special_polar
102,0.0,H1_hydrophobic_charged
219,0.0,L3_aromatic_special
186,0.0,L2_polar_aromatic
154,0.0,H3_hydrophobic_special
89,0.0,H1_polar_special
96,0.0,H1_charged_aromatic
159,0.0,H3_special_special
135,0.0,H3_polar_polar
214,0.0,L3_polar_special
195,0.0,L2_charged_polar
