,importance,feature
24,0.117,avg_epitope_AIF
17,0.092,H3_avg_epitope_AIF
19,0.082,L1_avg_epitope_AIF
6,0.043,L1_total_AIF
16,0.04,H3_avg_AIF
11,0.038,L3_total_epitope_AIF
15,0.038,H2_avg_epitope_AIF
14,0.038,H2_avg_AIF
13,0.036,H1_avg_epitope_AIF
10,0.035,L3_total_AIF
0,0.033,H1_total_AIF
8,0.032,L2_total_AIF
22,0.032,L3_avg_AIF
18,0.031,L1_avg_AIF
9,0.031,L2_total_epitope_AIF
4,0.029,H3_total_AIF
23,0.027,L3_avg_epitope_AIF
21,0.027,L2_avg_epitope_AIF
7,0.027,L1_total_epitope_AIF
5,0.027,H3_total_epitope_AIF
2,0.025,H2_total_AIF
3,0.025,H2_total_epitope_AIF
20,0.025,L2_avg_AIF
25,0.025,avg_paratope_AIF
12,0.024,H1_avg_AIF
1,0.02,H1_total_epitope_AIF
