,importance,feature
5,0.096,H3_length
6,0.079,H1-13-A
44,0.075,L3-9-A
2,0.074,L3_length
3,0.069,H1_length
4,0.068,H2_length
43,0.066,"L3-9,10-A"
16,0.066,H2-10-B
0,0.061,L1_length
37,0.052,"L3-10,11-A"
15,0.05,H2-10-A
22,0.046,L1-11-B
24,0.045,L1-12-B
25,0.038,L1-13-A
21,0.031,L1-11-A
23,0.029,L1-12-A
30,0.024,L1-15-A
27,0.011,L1-14-A
45,0.01,None
42,0.008,L3-8-A
13,0.002,H1-15-C
14,0.0,None
38,0.0,L3-10-A
35,0.0,None
36,0.0,
9,0.0,H1-13-D
40,0.0,L3-11-A
39,0.0,L3-10-B
33,0.0,
41,0.0,L3-5-A
8,0.0,H1-13-C
7,0.0,H1-13-B
34,0.0,L2-8-A
31,0.0,"L1-16,17-A"
32,0.0,None
17,0.0,H2-12-A
29,0.0,L1-14-C
28,0.0,L1-14-B
26,0.0,L1-13-B
10,0.0,H1-14-A
11,0.0,H1-15-A
1,0.0,L2_length
12,0.0,H1-15-B
20,0.0,L1-10-A
19,0.0,None
18,0.0,H2-9-A
46,0.0,
