,importance,feature
19,0.15,L1_avg_epitope_SIN
24,0.108,avg_epitope_SIN
17,0.05,H3_avg_epitope_SIN
6,0.043,L1_total_SIN
5,0.042,H3_total_epitope_SIN
16,0.039,H3_avg_SIN
15,0.036,H2_avg_epitope_SIN
25,0.034,avg_paratope_SIN
18,0.032,L1_avg_SIN
9,0.032,L2_total_epitope_SIN
13,0.031,H1_avg_epitope_SIN
7,0.031,L1_total_epitope_SIN
23,0.03,L3_avg_epitope_SIN
1,0.03,H1_total_epitope_SIN
14,0.029,H2_avg_SIN
21,0.029,L2_avg_epitope_SIN
11,0.028,L3_total_epitope_SIN
8,0.028,L2_total_SIN
22,0.027,L3_avg_SIN
3,0.027,H2_total_epitope_SIN
10,0.025,L3_total_SIN
20,0.025,L2_avg_SIN
4,0.024,H3_total_SIN
2,0.024,H2_total_SIN
0,0.024,H1_total_SIN
12,0.021,H1_avg_SIN
