,importance,feature
154,0.038,L2_multivalent
62,0.027,H3_charged_charged
142,0.025,L3_hydrophobic_charged
55,0.023,H3_aromatic_polar
78,0.022,L1_polar_hydrophobic
136,0.021,L3_charged_aromatic
153,0.018,L1_multivalent
107,0.017,L2_aromatic_charged
2,0.016,H1_polar_charged
30,0.016,H2_aromatic_polar
58,0.016,H3_aromatic_hydrophobic
125,0.016,L3_polar_polar
88,0.016,L1_charged_hydrophobic
7,0.016,H1_aromatic_charged
83,0.015,L1_aromatic_hydrophobic
72,0.015,H3_special_charged
27,0.014,H2_polar_charged
155,0.014,L3_multivalent
106,0.014,L2_aromatic_aromatic
97,0.013,L1_special_charged
60,0.013,H3_charged_polar
98,0.013,L1_special_hydrophobic
56,0.011,H3_aromatic_aromatic
67,0.011,H3_hydrophobic_charged
45,0.011,H2_special_polar
130,0.011,L3_aromatic_polar
51,0.011,H3_polar_aromatic
131,0.011,L3_aromatic_aromatic
81,0.011,L1_aromatic_aromatic
10,0.01,H1_charged_polar
36,0.01,H2_charged_aromatic
53,0.01,H3_polar_hydrophobic
52,0.01,H3_polar_charged
57,0.009,H3_aromatic_charged
152,0.009,H3_multivalent
37,0.009,H2_charged_charged
34,0.009,H2_aromatic_special
76,0.009,L1_polar_aromatic
59,0.009,H3_aromatic_special
127,0.009,L3_polar_charged
126,0.009,L3_polar_aromatic
102,0.009,L2_polar_charged
33,0.008,H2_aromatic_hydrophobic
42,0.008,H2_hydrophobic_charged
137,0.008,L3_charged_charged
47,0.008,H2_special_charged
61,0.008,H3_charged_aromatic
9,0.008,H1_aromatic_special
80,0.008,L1_aromatic_polar
82,0.008,L1_aromatic_charged
105,0.008,L2_aromatic_polar
68,0.008,H3_hydrophobic_hydrophobic
100,0.008,L2_polar_polar
147,0.008,L3_special_charged
95,0.008,L1_special_polar
132,0.008,L3_aromatic_charged
66,0.008,H3_hydrophobic_aromatic
38,0.007,H2_charged_hydrophobic
71,0.007,H3_special_aromatic
26,0.007,H2_polar_aromatic
25,0.007,H2_polar_polar
63,0.007,H3_charged_hydrophobic
5,0.007,H1_aromatic_polar
35,0.007,H2_charged_polar
32,0.007,H2_aromatic_charged
92,0.007,L1_hydrophobic_charged
103,0.007,L2_polar_hydrophobic
64,0.007,H3_charged_special
156,0.007,num_CDRs_multivalent
41,0.006,H2_hydrophobic_aromatic
87,0.006,L1_charged_charged
112,0.006,L2_charged_charged
101,0.006,L2_polar_aromatic
6,0.006,H1_aromatic_aromatic
150,0.006,H1_multivalent
40,0.006,H2_hydrophobic_polar
3,0.006,H1_polar_hydrophobic
77,0.005,L1_polar_charged
31,0.005,H2_aromatic_aromatic
75,0.005,L1_polar_polar
54,0.005,H3_polar_special
151,0.005,H2_multivalent
90,0.005,L1_hydrophobic_polar
12,0.005,H1_charged_charged
135,0.005,L3_charged_polar
28,0.005,H2_polar_hydrophobic
138,0.004,L3_charged_hydrophobic
48,0.004,H2_special_hydrophobic
73,0.004,H3_special_hydrophobic
8,0.004,H1_aromatic_hydrophobic
93,0.004,L1_hydrophobic_hydrophobic
122,0.004,L2_special_charged
79,0.004,L1_polar_special
46,0.003,H2_special_aromatic
65,0.003,H3_hydrophobic_polar
70,0.003,H3_special_polar
129,0.003,L3_polar_special
108,0.003,L2_aromatic_hydrophobic
133,0.003,L3_aromatic_hydrophobic
22,0.003,H1_special_charged
85,0.003,L1_charged_polar
29,0.003,H2_polar_special
110,0.003,L2_charged_polar
23,0.003,H1_special_hydrophobic
17,0.003,H1_hydrophobic_charged
69,0.002,H3_hydrophobic_special
91,0.002,L1_hydrophobic_aromatic
1,0.002,H1_polar_aromatic
134,0.002,L3_aromatic_special
128,0.002,L3_polar_hydrophobic
39,0.002,H2_charged_special
50,0.002,H3_polar_polar
11,0.002,H1_charged_aromatic
94,0.002,L1_hydrophobic_special
0,0.002,H1_polar_polar
139,0.002,L3_charged_special
18,0.002,H1_hydrophobic_hydrophobic
84,0.002,L1_aromatic_special
44,0.002,H2_hydrophobic_special
4,0.001,H1_polar_special
86,0.001,L1_charged_aromatic
145,0.001,L3_special_polar
146,0.001,L3_special_aromatic
16,0.001,H1_hydrophobic_aromatic
140,0.001,L3_hydrophobic_polar
14,0.001,H1_charged_special
13,0.001,H1_charged_hydrophobic
109,0.001,L2_aromatic_special
89,0.001,L1_charged_special
143,0.001,L3_hydrophobic_hydrophobic
43,0.001,H2_hydrophobic_hydrophobic
74,0.001,H3_special_special
141,0.001,L3_hydrophobic_aromatic
114,0.001,L2_charged_special
20,0.0,H1_special_polar
49,0.0,H2_special_special
111,0.0,L2_charged_aromatic
104,0.0,L2_polar_special
15,0.0,H1_hydrophobic_polar
148,0.0,L3_special_hydrophobic
144,0.0,L3_hydrophobic_special
149,0.0,L3_special_special
115,0.0,L2_hydrophobic_polar
96,0.0,L1_special_aromatic
116,0.0,L2_hydrophobic_aromatic
99,0.0,L1_special_special
24,0.0,H1_special_special
21,0.0,H1_special_aromatic
19,0.0,H1_hydrophobic_special
124,0.0,L2_special_special
123,0.0,L2_special_hydrophobic
121,0.0,L2_special_aromatic
120,0.0,L2_special_polar
119,0.0,L2_hydrophobic_special
118,0.0,L2_hydrophobic_hydrophobic
117,0.0,L2_hydrophobic_charged
113,0.0,L2_charged_hydrophobic
