,importance,feature
134,0.024,HR
88,0.023,FK
143,0.022,IE
240,0.017,PA
245,0.015,PG
387,0.014,YI
375,0.013,WS
15,0.013,AS
54,0.01,DR
51,0.009,DN
315,0.009,SS
384,0.009,YF
227,0.009,NI
138,0.009,HW
288,0.009,RK
278,0.009,QW
194,0.008,LR
254,0.008,PR
294,0.008,RR
103,0.008,GE
308,0.008,SK
266,0.008,QH
336,0.008,TT
367,0.007,WI
118,0.007,GW
383,0.007,YE
124,0.007,HF
385,0.007,YG
370,0.007,WM
159,0.007,IY
58,0.007,DW
333,0.007,TQ
107,0.007,GI
106,0.007,GH
388,0.007,YK
262,0.007,QD
293,0.007,RQ
239,0.007,NY
323,0.007,TE
285,0.006,RG
174,0.006,KR
394,0.006,YR
175,0.006,KS
48,0.006,DK
391,0.006,YN
399,0.006,YY
190,0.006,LM
228,0.006,NK
378,0.006,WW
264,0.006,QF
381,0.006,YC
249,0.006,PL
258,0.006,PW
139,0.006,HY
95,0.006,FS
373,0.006,WQ
339,0.006,TY
211,0.006,MN
238,0.005,NW
84,0.005,FF
178,0.005,KW
299,0.005,RY
108,0.005,GK
310,0.005,SM
148,0.005,IK
42,0.005,DD
324,0.005,TF
390,0.005,YM
53,0.005,DQ
142,0.005,ID
43,0.005,DE
393,0.005,YQ
395,0.005,YS
229,0.005,NL
208,0.005,MK
382,0.005,YD
362,0.005,WD
305,0.005,SG
188,0.005,LK
302,0.005,SD
223,0.005,NE
398,0.005,YW
66,0.005,EH
365,0.005,WG
135,0.004,HS
376,0.004,WT
222,0.004,ND
311,0.004,SN
7,0.004,AI
52,0.004,DP
389,0.004,YL
283,0.004,RE
292,0.004,RP
386,0.004,YH
279,0.004,QY
151,0.004,IN
392,0.004,YP
94,0.004,FR
116,0.004,GT
319,0.004,SY
291,0.004,RN
396,0.004,YT
128,0.004,HK
144,0.004,IF
225,0.004,NG
304,0.004,SF
354,0.004,VR
309,0.003,SL
397,0.003,YV
83,0.003,FE
369,0.003,WL
154,0.003,IR
295,0.003,RS
9,0.003,AL
318,0.003,SW
87,0.003,FI
102,0.003,GD
379,0.003,WY
289,0.003,RL
247,0.003,PI
50,0.003,DM
114,0.003,GR
296,0.003,RT
44,0.003,DF
306,0.003,SH
314,0.003,SR
251,0.003,PN
274,0.003,QR
189,0.003,LL
162,0.003,KD
236,0.003,NT
19,0.003,AY
213,0.003,MQ
85,0.003,FG
268,0.003,QK
164,0.003,KF
206,0.003,MH
263,0.003,QE
235,0.003,NS
242,0.002,PD
169,0.002,KL
334,0.002,TR
372,0.002,WP
