,importance,feature
687,0.024,L1_avg_epitope_SIN
692,0.024,avg_epitope_SIN
685,0.017,H3_avg_epitope_SIN
662,0.016,L2_avg_dMaSIF
563,0.016,L1_polar_hydrophobic
709,0.014,H2_avg_epitope_AIF
627,0.014,L3_hydrophobic_charged
718,0.013,avg_epitope_AIF
654,0.011,H1_avg_dMaSIF
674,0.011,L1_total_SIN
492,0.01,H1_aromatic_charged
701,0.01,L1_total_epitope_AIF
266,0.01,QH
547,0.01,H3_charged_charged
365,0.01,WG
284,0.01,RF
53,0.009,DQ
228,0.009,NK
463,0.009,H2
288,0.009,RK
362,0.009,WD
468,0.008,H1H2
390,0.008,YM
354,0.008,VR
283,0.008,RE
403,0.008,interaction_total_energy
484,0.007,CORESIN
610,0.007,L3_polar_polar
690,0.007,L3_avg_SIN
376,0.007,WT
573,0.007,L1_charged_hydrophobic
655,0.007,H1_avg_epitope_dMaSIF
523,0.007,H2_charged_hydrophobic
621,0.007,L3_charged_aromatic
384,0.006,YF
370,0.006,WM
480,0.006,L1L2
375,0.006,WS
557,0.006,H3_special_charged
387,0.006,YI
410,0.005,h2_interaction_energy
143,0.005,IE
477,0.005,H3L1
392,0.005,YP
537,0.005,H3_polar_charged
519,0.005,H2_aromatic_special
481,0.005,L1L3
409,0.005,h1_interaction_energy
386,0.005,YH
658,0.005,H3_avg_dMaSIF
677,0.005,L2_total_epitope_SIN
568,0.005,L1_aromatic_hydrophobic
660,0.005,L1_avg_dMaSIF
653,0.005,L3_total_epitope_dMaSIF
540,0.005,H3_aromatic_polar
229,0.005,NL
103,0.005,GE
664,0.005,L3_avg_dMaSIF
487,0.004,H1_polar_charged
469,0.004,H1H3
711,0.004,H3_avg_epitope_AIF
88,0.004,FK
58,0.004,DW
693,0.004,avg_paratope_SIN
646,0.004,H3_total_dMaSIF
666,0.004,avg_epitope_dMaSIF
704,0.004,L3_total_AIF
15,0.004,AS
512,0.004,H2_polar_charged
118,0.004,GW
578,0.004,L1_hydrophobic_hydrophobic
462,0.004,H1
379,0.004,WY
649,0.004,L1_total_epitope_dMaSIF
543,0.004,H3_aromatic_hydrophobic
645,0.004,H2_total_epitope_dMaSIF
171,0.004,KN
411,0.004,h3_interaction_energy
702,0.004,L2_total_AIF
669,0.004,H1_total_epitope_SIN
476,0.004,H2L3
291,0.004,RN
323,0.004,TE
582,0.004,L1_special_charged
483,0.004,NORM
536,0.004,H3_polar_aromatic
530,0.004,H2_special_polar
686,0.004,L1_avg_SIN
592,0.004,L2_aromatic_charged
717,0.003,L3_avg_epitope_AIF
548,0.003,H3_charged_hydrophobic
274,0.003,QR
488,0.003,H1_polar_hydrophobic
385,0.003,YG
402,0.003,epitope_total_energy
683,0.003,H2_avg_epitope_SIN
394,0.003,YR
640,0.003,L3_multivalent
124,0.003,HF
679,0.003,L3_total_epitope_SIN
657,0.003,H2_avg_epitope_dMaSIF
591,0.003,L2_aromatic_aromatic
396,0.003,YT
663,0.003,L2_avg_epitope_dMaSIF
678,0.003,L3_total_SIN
389,0.003,YL
83,0.003,FE
647,0.003,H3_total_epitope_dMaSIF
673,0.003,H3_total_epitope_SIN
305,0.003,SG
407,0.003,interface_dg
652,0.003,L3_total_dMaSIF
293,0.003,RQ
703,0.003,L2_total_epitope_AIF
467,0.003,L3
694,0.003,H1_total_AIF
472,0.003,H1L3
473,0.003,H2H3
671,0.003,H2_total_epitope_SIN
413,0.003,l2_interaction_energy
405,0.003,sc_total
642,0.003,H1_total_dMaSIF
577,0.003,L1_hydrophobic_charged
695,0.003,H1_total_epitope_AIF
94,0.003,FR
665,0.003,L3_avg_epitope_dMaSIF
296,0.003,RT
294,0.003,RR
689,0.003,L2_avg_epitope_SIN
54,0.003,DR
560,0.003,L1_polar_polar
406,0.002,dSASA
705,0.002,L3_total_epitope_AIF
585,0.002,L2_polar_polar
414,0.002,l3_interaction_energy
643,0.002,H1_total_epitope_dMaSIF
644,0.002,H2_total_dMaSIF
522,0.002,H2_charged_charged
464,0.002,H3
552,0.002,H3_hydrophobic_charged
474,0.002,H2L1
194,0.002,LR
401,0.002,epitope_sasa
716,0.002,L3_avg_AIF
478,0.002,H3L2
546,0.002,H3_charged_aromatic
541,0.002,H3_aromatic_aromatic
700,0.002,L1_total_AIF
299,0.002,RY
697,0.002,H2_total_epitope_AIF
656,0.002,H2_avg_dMaSIF
659,0.002,H3_avg_epitope_dMaSIF
620,0.002,L3_charged_polar
393,0.002,YQ
150,0.002,IM
650,0.002,L2_total_dMaSIF
412,0.002,l1_interaction_energy
388,0.002,YK
239,0.002,NY
544,0.002,H3_aromatic_special
138,0.002,HW
136,0.002,HT
583,0.002,L1_special_hydrophobic
310,0.002,SM
452,0.002,"L3-10,11-A"
324,0.002,TF
497,0.002,H1_charged_charged
226,0.002,NH
315,0.002,SS
561,0.002,L1_polar_aromatic
48,0.002,DK
526,0.002,H2_hydrophobic_aromatic
531,0.002,H2_special_aromatic
515,0.002,H2_aromatic_polar
715,0.002,L2_avg_epitope_AIF
470,0.002,H1L1
248,0.002,PK
713,0.002,L1_avg_epitope_AIF
545,0.002,H3_charged_polar
696,0.002,H2_total_AIF
622,0.002,L3_charged_charged
542,0.002,H3_aromatic_charged
255,0.002,PS
134,0.002,HR
511,0.002,H2_polar_aromatic
675,0.002,L1_total_epitope_SIN
408,0.002,interface_num_res
80,0.002,FA
159,0.002,IY
295,0.002,RS
465,0.002,L1
289,0.002,RL
108,0.002,GK
382,0.002,YD
538,0.002,H3_polar_hydrophobic
518,0.002,H2_aromatic_hydrophobic
395,0.002,YS
615,0.001,L3_aromatic_polar
482,0.001,L2L3
369,0.001,WL
373,0.001,WQ
144,0.001,IF
651,0.001,L2_total_epitope_dMaSIF
681,0.001,H1_avg_epitope_SIN
308,0.001,SK
74,0.001,ER
292,0.001,RP
611,0.001,L3_polar_aromatic
710,0.001,H3_avg_AIF
95,0.001,FS
661,0.001,L1_avg_epitope_dMaSIF
485,0.001,H1_polar_polar
400,0.001,epitope_num_res
298,0.001,RW
331,0.001,TN
