,importance,feature
667,0.048,L1_avg_epitope_SIN
672,0.026,avg_epitope_SIN
375,0.019,WS
642,0.015,L2_avg_dMaSIF
266,0.015,QH
665,0.013,H3_avg_epitope_SIN
543,0.013,L1_polar_hydrophobic
607,0.011,L3_hydrophobic_charged
527,0.011,H3_charged_charged
53,0.01,DQ
284,0.009,RF
413,0.009,h2_interaction_energy
226,0.009,NH
362,0.009,WD
652,0.008,H3_total_SIN
640,0.008,L1_avg_dMaSIF
390,0.008,YM
229,0.008,NL
557,0.008,L1_hydrophobic_charged
601,0.008,L3_charged_aromatic
637,0.008,H2_avg_epitope_dMaSIF
654,0.008,L1_total_SIN
472,0.008,H1_aromatic_charged
544,0.008,L1_polar_special
558,0.008,L1_hydrophobic_hydrophobic
416,0.008,l2_interaction_energy
689,0.007,H2_avg_epitope_AIF
354,0.007,VR
283,0.007,RE
467,0.007,H1_polar_charged
384,0.007,YF
635,0.007,H1_avg_epitope_dMaSIF
228,0.007,NK
670,0.007,L3_avg_SIN
365,0.007,WG
143,0.007,IE
691,0.007,H3_avg_epitope_AIF
403,0.007,interaction_total_energy
517,0.006,H3_polar_charged
405,0.006,sc_total
492,0.006,H2_polar_charged
386,0.006,YH
239,0.006,NY
412,0.006,h1_interaction_energy
288,0.006,RK
698,0.006,avg_epitope_AIF
653,0.006,H3_total_epitope_SIN
634,0.006,H1_avg_dMaSIF
310,0.006,SM
495,0.006,H2_aromatic_polar
663,0.006,H2_avg_epitope_SIN
673,0.006,avg_paratope_SIN
649,0.006,H1_total_epitope_SIN
681,0.006,L1_total_epitope_AIF
58,0.005,DW
651,0.005,H2_total_epitope_SIN
682,0.005,L2_total_AIF
392,0.005,YP
291,0.005,RN
590,0.005,L3_polar_polar
520,0.005,H3_aromatic_polar
411,0.005,Ag_score_normalized
387,0.005,YI
103,0.005,GE
626,0.005,H3_total_dMaSIF
379,0.005,WY
674,0.005,H1_total_AIF
88,0.005,FK
516,0.005,H3_polar_aromatic
83,0.005,FE
648,0.005,H1_total_SIN
385,0.004,YG
248,0.004,PK
638,0.004,H3_avg_dMaSIF
657,0.004,L2_total_epitope_SIN
370,0.004,WM
553,0.004,L1_charged_hydrophobic
118,0.004,GW
697,0.004,L3_avg_epitope_AIF
468,0.004,H1_polar_hydrophobic
644,0.004,L3_avg_dMaSIF
414,0.004,h3_interaction_energy
668,0.004,L2_avg_SIN
684,0.004,L3_total_AIF
522,0.004,H3_aromatic_charged
512,0.004,H2_special_charged
675,0.004,H1_total_epitope_AIF
548,0.003,L1_aromatic_hydrophobic
646,0.003,avg_epitope_dMaSIF
627,0.003,H3_total_epitope_dMaSIF
624,0.003,H2_total_dMaSIF
669,0.003,L2_avg_epitope_SIN
401,0.003,epitope_sasa
523,0.003,H3_aromatic_hydrophobic
625,0.003,H2_total_epitope_dMaSIF
402,0.003,epitope_total_energy
687,0.003,H1_avg_epitope_AIF
389,0.003,YL
629,0.003,L1_total_epitope_dMaSIF
511,0.003,H2_special_aromatic
396,0.003,YT
618,0.003,L1_multivalent
656,0.003,L2_total_SIN
659,0.003,L3_total_epitope_SIN
108,0.003,GK
501,0.003,H2_charged_aromatic
406,0.003,dSASA
572,0.003,L2_aromatic_charged
683,0.003,L2_total_epitope_AIF
304,0.003,SF
676,0.003,H2_total_AIF
636,0.003,H2_avg_dMaSIF
409,0.003,complex_energy
499,0.003,H2_aromatic_special
696,0.003,L3_avg_AIF
308,0.003,SK
376,0.003,WT
562,0.003,L1_special_charged
622,0.003,H1_total_dMaSIF
91,0.003,FN
661,0.003,H1_avg_epitope_SIN
633,0.003,L3_total_epitope_dMaSIF
367,0.003,WI
532,0.003,H3_hydrophobic_charged
393,0.003,YQ
502,0.003,H2_charged_charged
524,0.002,H3_aromatic_special
693,0.002,L1_avg_epitope_AIF
381,0.002,YC
293,0.002,RQ
623,0.002,H1_total_epitope_dMaSIF
415,0.002,l1_interaction_energy
383,0.002,YE
171,0.002,KN
294,0.002,RR
631,0.002,L2_total_epitope_dMaSIF
323,0.002,TE
521,0.002,H3_aromatic_aromatic
628,0.002,L1_total_dMaSIF
106,0.002,GH
525,0.002,H3_charged_polar
541,0.002,L1_polar_aromatic
650,0.002,H2_total_SIN
15,0.002,AS
632,0.002,L3_total_dMaSIF
369,0.002,WL
400,0.002,epitope_num_res_relaxed
528,0.002,H3_charged_hydrophobic
319,0.002,SY
94,0.002,FR
491,0.002,H2_polar_aromatic
540,0.002,L1_polar_polar
680,0.002,L1_total_AIF
660,0.002,H1_avg_SIN
571,0.002,L2_aromatic_aromatic
84,0.002,FF
299,0.002,RY
630,0.002,L2_total_dMaSIF
474,0.002,H1_aromatic_special
102,0.002,GD
600,0.002,L3_charged_polar
685,0.002,L3_total_epitope_AIF
289,0.002,RL
183,0.002,LE
272,0.002,QP
595,0.002,L3_aromatic_polar
238,0.002,NW
245,0.002,PG
315,0.002,SS
565,0.002,L2_polar_polar
335,0.002,TS
324,0.002,TF
679,0.002,H3_total_epitope_AIF
295,0.002,RS
503,0.002,H2_charged_hydrophobic
655,0.002,L1_total_epitope_SIN
227,0.002,NI
639,0.002,H3_avg_epitope_dMaSIF
190,0.002,LM
373,0.002,WQ
407,0.002,interface_dg
686,0.002,H1_avg_AIF
645,0.002,L3_avg_epitope_dMaSIF
542,0.002,L1_polar_charged
688,0.002,H2_avg_AIF
692,0.002,L1_avg_AIF
536,0.002,H3_special_aromatic
620,0.002,L3_multivalent
417,0.002,l3_interaction_energy
690,0.001,H3_avg_AIF
664,0.001,H3_avg_SIN
399,0.001,YY
394,0.001,YR
666,0.001,L1_avg_SIN
455,0.001,"L3-10,11-A"
194,0.001,LR
498,0.001,H2_aromatic_hydrophobic
695,0.001,L2_avg_epitope_AIF
333,0.001,TQ
677,0.001,H2_total_epitope_AIF
537,0.001,H3_special_charged
142,0.001,ID
497,0.001,H2_aromatic_charged
164,0.001,KF
189,0.001,LL
124,0.001,HF
602,0.001,L3_charged_charged
647,0.001,avg_paratope_dMaSIF
641,0.001,L1_avg_epitope_dMaSIF
570,0.001,L2_aromatic_polar
526,0.001,H3_charged_aromatic
395,0.001,YS
662,0.001,H2_avg_SIN
470,0.001,H1_aromatic_polar
420,0.001,L3_length
235,0.001,NS
257,0.001,PV
410,0.001,Ab_score_normalized
658,0.001,L3_total_SIN
159,0.001,IY
547,0.001,L1_aromatic_charged
643,0.001,L2_avg_epitope_dMaSIF
150,0.001,IM
591,0.001,L3_polar_aromatic
617,0.001,H3_multivalent
93,0.001,FQ
301,0.001,SC
134,0.001,HR
694,0.001,L2_avg_AIF
258,0.001,PW
274,0.001,QR
54,0.001,DR
473,0.001,H1_aromatic_hydrophobic
48,0.001,DK
296,0.001,RT
19,0.001,AY
397,0.001,YV
529,0.001,H3_charged_special
