,0
5kvd,50
3qwo,50
4idj,50
2wuc,50
6b0s,50
3bdy,50
1sy6,50
4etq,49
5xmh,49
5gzo,48
5anm,48
3hi6,47
1nsn,47
3mac,45
4r8w,45
5ywy,44
1ob1,43
3ve0,42
4f9l,41
4d9r,41
3h42,40
6mi2,40
4ffz,39
1mlc,39
6flc,39
3k2u,39
5i5k,38
5kvf,38
5dwu,38
5c0n,35
3a6b,35
3gjf,34
5j13,34
3c09,34
5w0k,33
1fe8,33
1fsk,33
4cmh,33
3g6d,32
5n7w,31
3uyp,30
5wux,29
1p2c,29
5kve,28
5w08,27
1iqd,26
3t2n,25
3etb,22
5u8q,22
2bdn,20
4z5r,18
4dgi,18
4ybl,18
5hys,17
4j4p,17
2ypv,14
3hae,14
2nyy,14
5bvp,14
6cwt,12
5otj,12
4cni,12
4g6m,12
3dvn,11
5sy8,11
1nby,9
2cmr,9
5grj,9
5d1x,9
5c6t,9
4ypg,9
6eyo,8
3q1s,8
4zs7,7
3wd5,7
4np4,7
5mes,7
5usl,7
4i2x,7
3nfp,7
5czv,6
4k2u,6
5wi9,6
6a0z,6
5vyf,6
2vwe,5
4k24,5
5mi0,5
4u6v,4
4k9e,4
5ngv,4
1jps,4
3kr3,4
4p59,4
4dtg,3
6ii8,2
5c7x,2
5u7m,2
2ybr,2
1cz8,2
4jkp,2
4r2g,2
5w06,2
4dn4,2
5d1q,2
5l6y,2
5yoy,1
4dke,1
4lu5,1
4u6h,1
5t5f,1
6b0e,1
4uu9,1
3sqo,1
2w9e,1
1za3,1
5vob,1
