,importance,feature
17,0.066,H3_avg_epitope_dMaSIF
20,0.054,L2_avg_dMaSIF
13,0.052,H1_avg_epitope_dMaSIF
24,0.049,avg_epitope_dMaSIF
8,0.048,L2_total_dMaSIF
12,0.048,H1_avg_dMaSIF
25,0.045,avg_paratope_dMaSIF
4,0.045,H3_total_dMaSIF
11,0.044,L3_total_epitope_dMaSIF
7,0.042,L1_total_epitope_dMaSIF
15,0.039,H2_avg_epitope_dMaSIF
19,0.039,L1_avg_epitope_dMaSIF
18,0.039,L1_avg_dMaSIF
5,0.037,H3_total_epitope_dMaSIF
22,0.037,L3_avg_dMaSIF
16,0.036,H3_avg_dMaSIF
10,0.036,L3_total_dMaSIF
9,0.035,L2_total_epitope_dMaSIF
2,0.031,H2_total_dMaSIF
3,0.031,H2_total_epitope_dMaSIF
6,0.029,L1_total_dMaSIF
1,0.029,H1_total_epitope_dMaSIF
14,0.025,H2_avg_dMaSIF
21,0.024,L2_avg_epitope_dMaSIF
0,0.022,H1_total_dMaSIF
23,0.018,L3_avg_epitope_dMaSIF
