,importance,feature
1,0.085,epitope_sasa
3,0.08,interaction_total_energy
9,0.078,complex_energy
15,0.074,l1_interaction_energy
5,0.07,sc_total
6,0.065,dSASA
0,0.065,epitope_num_res_relaxed
16,0.059,l2_interaction_energy
11,0.058,Ag_score_normalized
10,0.057,Ab_score_normalized
12,0.052,h1_interaction_energy
14,0.049,h3_interaction_energy
2,0.047,epitope_total_energy
7,0.046,interface_dg
17,0.039,l3_interaction_energy
8,0.039,separated_interface_energy_ratio
13,0.037,h2_interaction_energy
4,0.0,crossterm_interface_energy
