,importance,feature
172,0.064,L2_multivalent
96,0.033,L1_polar_hydrophobic
110,0.025,L1_hydrophobic_charged
80,0.024,H3_charged_charged
73,0.022,H3_aromatic_polar
16,0.021,l2_interaction_energy
171,0.02,L1_multivalent
160,0.02,L3_hydrophobic_charged
154,0.019,L3_charged_aromatic
20,0.019,H1_polar_charged
143,0.018,L3_polar_polar
5,0.017,sc_total
9,0.017,complex_energy
25,0.016,H1_aromatic_charged
3,0.015,interaction_total_energy
99,0.015,L1_aromatic_aromatic
101,0.015,L1_aromatic_hydrophobic
69,0.014,H3_polar_aromatic
156,0.014,L3_charged_hydrophobic
48,0.012,H2_aromatic_polar
12,0.012,h1_interaction_energy
54,0.012,H2_charged_aromatic
14,0.012,h3_interaction_energy
150,0.012,L3_aromatic_charged
45,0.012,H2_polar_charged
70,0.011,H3_polar_charged
21,0.011,H1_polar_hydrophobic
77,0.011,H3_aromatic_special
173,0.011,L3_multivalent
0,0.011,epitope_num_res_relaxed
76,0.011,H3_aromatic_hydrophobic
124,0.011,L2_aromatic_aromatic
15,0.01,l1_interaction_energy
85,0.01,H3_hydrophobic_charged
74,0.01,H3_aromatic_aromatic
115,0.01,L1_special_charged
125,0.01,L2_aromatic_charged
1,0.009,epitope_sasa
78,0.009,H3_charged_polar
27,0.009,H1_aromatic_special
71,0.009,H3_polar_hydrophobic
51,0.008,H2_aromatic_hydrophobic
100,0.008,L1_aromatic_charged
111,0.008,L1_hydrophobic_hydrophobic
65,0.008,H2_special_charged
52,0.008,H2_aromatic_special
2,0.008,epitope_total_energy
170,0.008,H3_multivalent
75,0.008,H3_aromatic_charged
6,0.007,dSASA
50,0.007,H2_aromatic_charged
145,0.007,L3_polar_charged
93,0.007,L1_polar_polar
108,0.007,L1_hydrophobic_polar
7,0.007,interface_dg
55,0.007,H2_charged_charged
13,0.006,h2_interaction_energy
10,0.006,Ab_score_normalized
49,0.006,H2_aromatic_aromatic
90,0.006,H3_special_charged
147,0.006,L3_polar_special
44,0.006,H2_polar_aromatic
28,0.006,H1_charged_polar
148,0.006,L3_aromatic_polar
26,0.005,H1_aromatic_hydrophobic
17,0.005,l3_interaction_energy
81,0.005,H3_charged_hydrophobic
88,0.005,H3_special_polar
84,0.005,H3_hydrophobic_aromatic
22,0.005,H1_polar_special
11,0.005,Ag_score_normalized
165,0.005,L3_special_charged
163,0.004,L3_special_polar
8,0.004,separated_interface_energy_ratio
97,0.004,L1_polar_special
168,0.004,H1_multivalent
169,0.004,H2_multivalent
64,0.004,H2_special_aromatic
106,0.004,L1_charged_hydrophobic
89,0.004,H3_special_aromatic
86,0.004,H3_hydrophobic_hydrophobic
79,0.004,H3_charged_aromatic
63,0.004,H2_special_polar
98,0.004,L1_aromatic_polar
24,0.004,H1_aromatic_aromatic
94,0.004,L1_polar_aromatic
56,0.004,H2_charged_hydrophobic
144,0.004,L3_polar_aromatic
23,0.004,H1_aromatic_polar
53,0.003,H2_charged_polar
152,0.003,L3_aromatic_special
60,0.003,H2_hydrophobic_charged
43,0.003,H2_polar_polar
95,0.003,L1_polar_charged
149,0.003,L3_aromatic_aromatic
128,0.003,L2_charged_polar
155,0.003,L3_charged_charged
123,0.003,L2_aromatic_polar
118,0.003,L2_polar_polar
18,0.003,H1_polar_polar
120,0.003,L2_polar_charged
92,0.003,H3_special_special
105,0.003,L1_charged_charged
59,0.002,H2_hydrophobic_aromatic
30,0.002,H1_charged_charged
82,0.002,H3_charged_special
174,0.002,num_CDRs_multivalent
153,0.002,L3_charged_polar
151,0.002,L3_aromatic_hydrophobic
116,0.002,L1_special_hydrophobic
66,0.002,H2_special_hydrophobic
68,0.002,H3_polar_polar
121,0.002,L2_polar_hydrophobic
46,0.002,H2_polar_hydrophobic
31,0.002,H1_charged_hydrophobic
119,0.002,L2_polar_aromatic
58,0.002,H2_hydrophobic_polar
35,0.002,H1_hydrophobic_charged
130,0.002,L2_charged_charged
83,0.001,H3_hydrophobic_polar
146,0.001,L3_polar_hydrophobic
102,0.001,L1_aromatic_special
109,0.001,L1_hydrophobic_aromatic
113,0.001,L1_special_polar
91,0.001,H3_special_hydrophobic
19,0.001,H1_polar_aromatic
72,0.001,H3_polar_special
157,0.001,L3_charged_special
129,0.001,L2_charged_aromatic
47,0.001,H2_polar_special
161,0.001,L3_hydrophobic_hydrophobic
140,0.001,L2_special_charged
114,0.001,L1_special_aromatic
87,0.001,H3_hydrophobic_special
158,0.001,L3_hydrophobic_polar
57,0.001,H2_charged_special
127,0.001,L2_aromatic_special
126,0.001,L2_aromatic_hydrophobic
104,0.001,L1_charged_aromatic
34,0.001,H1_hydrophobic_aromatic
29,0.001,H1_charged_aromatic
112,0.0,L1_hydrophobic_special
40,0.0,H1_special_charged
103,0.0,L1_charged_polar
164,0.0,L3_special_aromatic
167,0.0,L3_special_special
162,0.0,L3_hydrophobic_special
61,0.0,H2_hydrophobic_hydrophobic
67,0.0,H2_special_special
122,0.0,L2_polar_special
32,0.0,H1_charged_special
38,0.0,H1_special_polar
41,0.0,H1_special_hydrophobic
33,0.0,H1_hydrophobic_polar
39,0.0,H1_special_aromatic
107,0.0,L1_charged_special
166,0.0,L3_special_hydrophobic
62,0.0,H2_hydrophobic_special
159,0.0,L3_hydrophobic_aromatic
36,0.0,H1_hydrophobic_hydrophobic
131,0.0,L2_charged_hydrophobic
37,0.0,H1_hydrophobic_special
134,0.0,L2_hydrophobic_aromatic
4,0.0,crossterm_interface_energy
117,0.0,L1_special_special
132,0.0,L2_charged_special
133,0.0,L2_hydrophobic_polar
135,0.0,L2_hydrophobic_charged
42,0.0,H1_special_special
136,0.0,L2_hydrophobic_hydrophobic
137,0.0,L2_hydrophobic_special
138,0.0,L2_special_polar
139,0.0,L2_special_aromatic
142,0.0,L2_special_special
141,0.0,L2_special_hydrophobic
