pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
2r56	I	M	0	B	protein	NA	beta-lactoglobulin	IMMUNE SYSTEM	09/03/07	Crystal Structure of a Recombinant IgE Fab Fragment in Complex with Bovine Beta-Lactoglobulin Allergen	BOS TAURUS; HOMO SAPIENS	homo sapiens	homo sapiens	bos taurus	Niemi, M., Kallio, J.M., Hakulinen, N., Rouvinen, J.	2.8	X-RAY DIFFRACTION	0.29100000000000004	0.246	False	False	IGHV3	IGKV1	Kappa	1.3e-09	-12.12	SPR	NA	17997967
2r56	H	L	0	A	protein	NA	beta-lactoglobulin	IMMUNE SYSTEM	09/03/07	Crystal Structure of a Recombinant IgE Fab Fragment in Complex with Bovine Beta-Lactoglobulin Allergen	BOS TAURUS; HOMO SAPIENS	homo sapiens	homo sapiens	bos taurus	Niemi, M., Kallio, J.M., Hakulinen, N., Rouvinen, J.	2.8	X-RAY DIFFRACTION	0.29100000000000004	0.246	False	False	IGHV3	IGKV1	Kappa	1.30e-09	-12.12	SPR	NA	17997967
5wux	C	D	0	G	protein	NA	tumor necrosis factor alpha	IMMUNE SYSTEM	12/21/16	TNFalpha-certolizumab Fab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Heo, Y.S., Lee, J.U.	2.9	X-RAY DIFFRACTION	0.266	0.226	False	True	IGHV3	IGKV1	Kappa	2.7399999999999997e-11	-14.40948636554907	SPR	NA	TBD
5wux	A	B	0	F	protein	NA	tumor necrosis factor alpha	IMMUNE SYSTEM	12/21/16	TNFalpha-certolizumab Fab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Heo, Y.S., Lee, J.U.	2.9	X-RAY DIFFRACTION	0.266	0.226	False	True	IGHV3	IGKV1	Kappa	2.7399999999999997e-11	-14.40948636554907	SPR	NA	TBD
5wux	H	L	0	E	protein	NA	tumor necrosis factor alpha	IMMUNE SYSTEM	12/21/16	TNFalpha-certolizumab Fab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Heo, Y.S., Lee, J.U.	2.9	X-RAY DIFFRACTION	0.266	0.226	False	True	IGHV3	IGKV1	Kappa	2.7399999999999997e-11	-14.40948636554907	SPR	NA	TBD
4xi5	D	C	0	B | A	protein | protein	NA | NA	envelope glycoprotein l | envelope glycoprotein h	Viral Protein/Immune System	01/06/15	gHgL of varicella-zoster virus in complex with human neutralizing antibodies	HUMAN HERPESVIRUS 3 STRAIN OKA VACCINE; HOMO SAPIENS	homo sapiens	homo sapiens	human herpesvirus 3 strain oka vaccine | human herpesvirus 3 strain oka vaccine	Xing, Y.	3.9	X-RAY DIFFRACTION	0.276	0.245	False	True	IGHV3	IGKV1	Kappa	4.900000000000001e-10	-12.700844971389516	SPR	NA	TBD
4k9e	H	L	0	C	protein	NA	mast/stem cell growth factor receptor kit	IMMUNE SYSTEM	04/19/13	Crystal structure of KIT D4D5 fragment in complex with anti-Kit antibodies Fab79D	MUS MUSCULUS; HOMO SAPIENS	mus musculus	mus musculus	homo sapiens	Resheynyak, A.V., Boggon, T.J., Lax, I., Schlessinger, J.	2.7	X-RAY DIFFRACTION	0.282	0.247	False	True	IGHV3	IGKV1	Kappa	6.4e-12	-15.271102808414621	SPR	NA	TBD
4k94	H	L	0	C | C	carbohydrate | protein	NAG | NA	N-ACETYL-D-GLUCOSAMINE | mast/stem cell growth factor receptor kit	IMMUNE SYSTEM	04/19/13	Crystal structure of KIT D4D5 fragment in complex with anti-Kit antibody Fab19	ESCHERICHIA COLI; HOMO SAPIENS	NA	NA	homo sapiens | homo sapiens	Resheynyak, A.V., Boggon, T.J., Lax, I., Schlessinger, J.	2.4	X-RAY DIFFRACTION	0.235	0.198	False	True	IGHV3	IGKV1	Kappa	6.3e-10	-12.551945274084549	TBD	SPR	NA
1jps	H	L	0	T	protein	NA	tissue factor	IMMUNE SYSTEM	08/03/01	Crystal structure of tissue factor in complex with humanized Fab D3h44	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Faelber, K., Kirchhofer, D., Presta, L., Kelley, R.F., Muller, Y.A.	1.85	X-RAY DIFFRACTION	0.22399999999999998	0.201	False	True	IGHV3	IGKV1	Kappa	1.00e-10	-13.63	SPR	25	11307801
1iqd	B	A	0	C	protein	NA	human factor viii	IMMUNE SYSTEM/BLOOD CLOTTING	07/21/01	Human Factor VIII C2 Domain complexed to human monoclonal BO2C11 Fab.	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Spiegel Jr., P.C., Jacquemin, M., Saint-Remy, J.M., Stoddard, B.L., Pratt, K.P.	2.0	X-RAY DIFFRACTION	0.253	0.203	False	False	IGHV1	IGKV3	Kappa	1.40e-11	-14.8	SPR	NA	9657749
